"","type","year","author","doc_title","pub_title","DOI","abstract"
"11","conferencePaper",2010,"Agnoloni, Tommaso; Tiscornia, Daniela","Semantic Web Standards and Ontologies for Legislative Drafting Support",NA,"10.1007/978-3-642-15158-3_16","Machine readable open public data and the issue of multilingual web are open challenges promising to transform the relationship between citizens and European institutions. In this context the DALOS project aims at ensuring coherence and alignment in the legislative language, providing law-makers with knowledge management tools to improve the control over the multilingual complexity of European legislation and over the linguistic and conceptual issues involved in its transposition into national laws. This paper describes the design and implementation activities performed on the basis of a set of parallel texts in different languages on a specific legal topic. Natural language processing techniques have been applied to automatically build lexicons for each language. Lexical and conceptual multilingual alignment has been accomplished exploiting terms position in parallel documents. An ontology describing entities involved in the chosen domain has been developed in order to provide a semantic description of terms in lexicons. A modular integration of such resources, represented in RDF/OWL standard format, allowed their effective and flexible access from a legislative drafting application prototype, able to enrich legal documents with terms mark-up and semantic annotations."
"12","conferencePaper",2014,"Ahmadi Zeleti, Fatemeh; Ojo, Adegboyega; Curry, Edward","Emerging Business Models for the Open Data Industry: Characterization and Analysis",NA,"10.1145/2612733.2612745","Business models for open data have emerged in response to the economic opportunities presented by the increasing availability of open data. However, scholarly efforts providing elaborations, rigorous analysis and comparison of open data models are very limited. This could be partly attributed to the fact that most discussions on open data business models are predominantly in the practice community. This shortcoming has resulted in a growing list of open data business models which, on closer examination, are not clearly delineated and lack clear value orientation. We address this problem by 1) consolidating reported open data business models in both academic and practice literature, 2) describe the models based on a business model framework, and 3) determine open data business models patterns. In addition, we identified the emerging core value disciplines for open data businesses. Our results help to streamline existing useful models, and link them to the overall business strategy through value disciplines."
"13","conferencePaper",2013,"Ahmadi Zeleti, Fatemeh; Ojo, Adegboyega; Uusitalo, Olavi","Entrepreneurism and e-Government in Finland: Barriers to Entry",NA,"10.1145/2591888.2591909","Entrepreneurship is generally considered as central to economic development. Therefore, decisions by government to directly support entrepreneurs with Electronic Government (e-Gov) services can have significant impact on economic development. Given the current downward trend in new entrepreneur numbers in many countries, e-Gov services may arguably be best targeted at promotion and lowering of barriers in establishing new businesses. However, delivering effective e-Gov services to entrepreneurs in starting new businesses will require concrete knowledge of entrepreneurial needs on one hand and the barriers to entry and challenges on the other hand. Unfortunately, research dedicated to the real needs of entrepreneurs with respect to e-Gov services is limited. This work fills this knowledge gap through a study of the e-Gov related factors that could contribute to lowering the barriers to entry for new entrepreneurs. Based on the analysis of the information gathered from a series of structured and semi-structured interviews involving 36 fresh entrepreneurs in Finland, we identified four factors related to e-Gov services which could lower the barrier to entrepreneurship."
"14","conferencePaper",2016,"Ahmed, Alsanossi M.; Buckley, Kevan A.; Moreton, Robert; Elmaghraby, Adel","A Serious Game Prototype to Encourage Citizens to Use e-Government in Libya",NA,"10.3233/978-1-61499-670-5-241","Citizen engagement was identified as one of the main factors in e-government success, and many projects failed due to a lack of citizen engagement, particularly in developing countries. The benefits of utilizing serious games in education and training and their positive impacts in the field are expected to be the same in an e-government context, hence, it is argued that the use of serious games to expand knowledge, training, build confidence and trust among citizens can improve their use of e-government service. This research paper discusses a study conducted with the aim of developing a “e-Reservation” service as a serious game that expands knowledge and trains Libyan citizens on how to act when using the actual e-service. The proposed serious game is dedicated to familiarizing players with all rules and system requirements. Results show that the use of serious games has a positive impact on citizens' motivation to engage with e-government."
"15","conferencePaper",2021,"Ahmed, Rozha K.; Muhammed, Khder H.; Qadir, Awat O.; Arif, Soran I.; Lips, Silvia; Nyman-Metcalf, Katrin; Pappel, Ingrid; Draheim, Dirk","A legal framework for digital transformation: A proposal based on a comparative case study",NA,"10.1007/978-3-030-86611-2_9","Digital transformation is crucial for governments to provide better and more efficient services to the citizens. A legal framework is a necessary component of each e-government ecosystem to ensure proper delivery of e-services. This research proposes a legal framework for e-government in the Kurdistan Region of Iraq (KRI). The research started with the KRI‚Äôs e-Court system project as the first pilot project towards the systematic introduction of e-government in general. The research is based on a qualitative comparative case study of the KRI and Estonia, which is known to have a particularly mature set of e-government regulations. Data have been collected from legal databases, existing literature, and other available legal documentations from both countries. This study aims to provide a foundation for the Kurdistan Regional Government (KRG) to conclude plans for digital expansion and implementation of e-government in the KRI. Beyond that, the authors hope that this study extends the existing body of knowledge and literature in a way that is useful for e-government practitioners in other projects and researchers alike."
"16","conferencePaper",2016,"Aitamurto, Tanja","Collective Intelligence in Law Reforms: When the Logic of the Crowds and the Logic of Policymaking Collide",NA,"10.1109/HICSS.2016.349","This paper shows how the two virtues of collective intelligence -- cognitive diversity and large crowds -- turn into perils in crowdsourced policymaking. That is because of a conflict between the logic of the crowds and the logic of policymaking. The crowd's logic differs from that of traditional policymaking in several aspects. To mention some of those: In traditional policymaking it is a small group of experts making proposals to the policy, whereas in crowdsourced policymaking, it is a large, anonymous crowd with a mixed level of expertise. The crowd proposes atomic ideas, whereas traditional policymaking is used to dealing with holistic and synthesized proposals. By drawing on data from a crowdsourced law-making process in Finland, the paper shows how the logics of the crowds and policymaking collide in practice. The conflict prevents policymaking fully benefiting from the crowd's input, and it also hinders governments from adopting crowdsourcing more widely as a practice for deploying open government principles."
"17","conferencePaper",2018,"Akkaya, Cigdem; Krcmar, Helmut","Towards the Implementation of the EU-Wide “Once-Only Principle”: Perceptions of Citizens in the DACH-Region",NA,"10.1007/978-3-319-98690-6_14","This paper presents selected findings from a recent empirical research conducted in the context of modernization of public administrations. E-government adoption has reached a stagnation point over..."
"18","conferencePaper",2018,"Akyürek, Haydar; Scholl, Cora; Stodden, Regina; Siebenlist, Tobias; Mainka, Agnes","Maturity and Usability of Open Data in North Rhine-Westphalia",NA,"10.1145/3209281.3209345","We examine the actual state of open government in North Rhine-Westphalia (NRW), Germany, regarding the infrastructure for publishing open data. The overall state is measured with the Open Data Barometer. Furthermore, we analyse the distribution of file formats, dataset licenses and dataset categories of published open data in NRW. Since the Open Government Pact in NRW was established, the interest in open data and its platforms is increasing. In the last years many new platforms were subsequently deployed. Two most commonly used underlying platforms for publishing open data are DKAN and CKAN. Our goal is to elaborate usability concerns of CKAN and DKAN and formulate recommendations to improve their usability. We conduct a usability study with new users to measure the usability of the platforms and carry out an expert survey with open data maintainers to identify room for improvement. Our research provides evidence that NRW is on par with Germany in the implementation and distribution of open data and that a common open data strategy on a regional level is missing. It also points out that CKAN provides a superior user experience for new users and experienced maintainers compared to DKAN. We further determine critical usability concerns and provide recommendations to improve the usability of CKAN and DKAN."
"19","conferencePaper",2016,"Aladalah, Mohammed; Cheung, Yen; Lee, Vincent C. S.","Delivering Public Value: Synergistic Integration via Gov 2.0",NA,"10.1109/HICSS.2016.376","The potential of Gov 2.0 to facilitate greater communication, participation, and collaboration with citizens has been debated repeatedly in recent literature. However, Gov 2.0 fails to attract a satisfying level of citizen participation and has not lived up to expectations. Therefore, governments need to rethink how to engage the digital population via Gov 2.0 to achieve public value. To engage effectively, there needs to be a synergy between citizens and governments. The proposed research model in this paper aims to explain the synergy between citizens and governments that is needed to create public value via Gov 2.0. This synergistic interaction has emergent properties to create substantial public value, which is expected to result in many benefits including the increase in citizen participation via Gov 2. The theoretical foundation of the proposed research model builds on theories such as co-creation and public value. The paper concludes by suggesting further empirical research to evaluate and refine the research model."
"20","conferencePaper",2018,"Alampay, Erwin A.; Asuncion, Xavier Venn; Santos, Maricris delos","Management of Social Media for Disaster Risk Reduction and Mitigation in Philippine Local Government Units",NA,"10.1145/3209415.3209452","This study looked at how local government units (LGUs) have appropriated the use of social media for its disaster risk mitigation services. In particular, it looks at how the models by which the LGUs organize and manage their operation."
"21","conferencePaper",2018,"Alarabiat, Ayman; Soares, Delfina; Ferreira, Luis; de Sá-Soares, Filipe","Analyzing e-Governance Assessment Initiatives: An Exploratory Study",NA,"10.1145/3209281.3209309","This paper presents an exploratory study aimed at identifying, exploring, and analyzing current EGOV assessment initiatives. We do so based on data obtained from a desktop research and from a worldwide questionnaire directed to the 193 countries that are part of the list used by the Statistics Division of the United Nations Department of Economic and Social Affairs (UNDESA). The study analyses 12 EGOV assessment initiatives: a) seven of them are international/regional EGOV assessment initiatives performed by the United Nations (UN), European Union (EU), Waseda-IAC, Organisation for Economic Co-operation and Development (OECD), World Bank (WB), WWW Foundation, and Open Knowledge Network (OKN); b) five of them are country-level EGOV assessment initiatives performed by Norway, Germany, India, Saudi Arabia, and the United Arab Emirates. Further, the study provides general results obtained from a questionnaire with participation from 18 countries: Afghanistan, Angola, Brazil, Cabo Verde, Denmark, Estonia, Finland, Germany, Ghana, Ireland, Latvia, the Netherlands, Norway, Oman, Pakistan, the Philippines, Portugal, and Slovenia. The findings show that there is no shortage of interest in assessing EGOV initiatives. However, the supply side of EGOV initiatives is the dominant perspective being assessed, particularly by regional and international organizations. While there is an increasing interest in assessing the users' perspective (demand side) by individual countries, such attempts still seem to be at an early stage. Additionally, the actual use and impact of various EGOV services and activities are rarely well identified and measured. This study represents a stepping stone for developing instruments for assessing EGOV initiatives in future works. For the current stage, the study presents several general suggestions to be considered during the assessment process."
"22","conferencePaper",2012,"Alawadhi, Suha; Aldama-Nalda, Armando; Chourabi, Hafedh; Gil-Garcia, Ramon J.; Leung, Sofia; Mellouli, Sehl; Nam, Taewoo; Pardo, Theresa A.; Scholl, Hans Jochen; Walker, Shawn","Building Understanding of Smart City Initiatives",NA,"10.1007/978-3-642-33489-4_4","This study presents the first results of an analysis primarily based on semi-structured interviews with government officials and managers who are responsible for smart city initiatives in four North American cities—Philadelphia and Seattle in the United States, Quebec City in Canada, and Mexico City in Mexico. With the reference to the Smart City Initiatives Framework that we suggested in our previous research, this study aims to build a new understanding of smart city initiatives. Main findings are categorized into eight aspects including technology, management and organization, policy context, governance, people and communities, economy, built infrastructure, and natural environment."
"23","conferencePaper",2016,"Alawadhi, Suha; Scholl, Hans Jochen","Smart Governance: A Cross-Case Analysis of Smart City Initiatives",NA,"10.1109/HICSS.2016.370","City governments around the world have embarked on smart-city initiatives and projects with the aim of creating a future-ready urban environment, in which critical infrastructure components and online services are intelligent, efficient, and highly interconnected. Reshaping administrative structures and processes across multiple local government agencies and departments appears as an important prerequisite to success in these initiatives. Moreover, the model of governance in such multi-agency initiatives is key to achieving desired outcomes and sustainability. Such"
"24","conferencePaper",2009,"Albano, Gian Luigi; Dini, Federico; Zampino, Roberto","Bidding for Complex Projects: Evidence from Italian Government’s Acquisitions of IT Services",NA,"10.1007/978-3-642-03516-6","Public buyers are often mandated by law to adopt competitive procedures to ensure transparency and promote full competition. Recent economic literature, however, suggests that open competition can perform poorly in allocating complex projects. In exploring the determinants of bidding behavior in tenders for complex IT services, we find results that appear consistent with theory. Our analysis shows that price and quality are linked in a puzzling way: high quality is associated with low prices. We also find that quality proposals are mainly explained by suppliers’ experience. Results suggest that scoring rules at the basis of the tendering process might fail to appropriately incorporate buyers’ complex price/quality preferences."
"25","conferencePaper",2014,"Albesher, Abdulaziz; Brooks, Laurence","The Effects of Individual Differences on Trust in e-Government Services: An Empirical Evaluation",NA,"10.3233/978-1-61499-429-9-120","Citizen-government interaction has been innovatively improved through the use of e-Government services. Such e-services provide governmental agencies with the opportunity to enhance their reputation and increase citizens' engagement with them. However, accomplishing this transformation will not be achieved without removing any impediments that affect citizens' trust in the provided e-services. This paper aims to understand the way social individual differences (age, gender, education level, and Internet experience) affect citizens' trust in e-Government services in developing countries. A survey, looking at people's perception of trust in e-Government, of citizens drawn from different geographical areas in Saudi Arabia, was conducted. The findings of this research indicate that out of the four factors investigated, only education level has a significant impact on citizen's trust in e-government services. Therefore, it appears that as educational level increases, so does citizen's trust in e-government and so they are more likely to engage with these e-government services."
"26","conferencePaper",2015,"Alexandrova, Assia; Rapanotti, Lucia; Horrocks, Ivan","The Legacy Problem in Government Agencies: An Exploratory Study",NA,"10.1145/2757401.2757406","Government organizations continue to be heavily reliant on legacy systems to support their business-critical functions. When practitioners embark on legacy systems replacement projects, they tend to use the legacy software's features as business requirements for its replacement application. This unnecessarily reproduces the business processes that have often emerged from the very technical limitations of the legacy system that is being phased out -- a phenomenon referred to as the ""legacy problem."" Public agencies are missing opportunities for innovation when they carry out legacy replacement projects in this conservative manner. Overcoming the legacy problem is ""wickedly"" difficult because of the complex interrelationships of information technology, organizational culture, and government agencies' normative environments. This paper reports on the use of an online survey and qualitative interviews with practitioners in government agencies to explore the legacy problem. The data revealed that public agencies tend to regard legacy system replacement projects as a distinctly technical issue, and that they do not engage in systematic practices to ensure that unnecessary carryover of the business model embedded in legacy technology does not take place. As a result, legacy feature carryover occurs frequently, because practitioners want to minimize business process changes during new system implementation. The study findings single out the procurement of Commercial Off The Shelf (COTS) software as the most common approach to the replacement of legacy systems. When COTS packages are implemented, vendors (technology providers) shape the requirements discussion and the business analysis surrounding feature selection and customization. These study findings can be instrumental when devising solutions to assist agencies in dealing with the legacy problem."
"27","conferencePaper",2018,"Alexopoulos, Charalampos; Charalabidis, Yannis; Vogiatzis, Nikolaos; Kolokotronis, Dimitrios E.","A taxonomy for analysing smart cities developments in Greece",NA,"10.1145/3209415.3209471","Smart city initiatives are designed to develop information technology capacities and establish an agenda for change. It is also very difficult for the municipal authorities to identify, evaluate and implement the proper developments in a world characterised by the multiplicity of available solutions. Consequently, the policy aspect of a smart city is a major challenge in order to create a collaborative approach to innovation ecosystems based on sustainable partnerships among the main stakeholders from business, research, policy and citizen groups and achieve an alignment of local, regional and European policy levels and resources. The objective of this inquiry is to develop an analysis framework to better understand smart city practices in Greece and to identify the barriers where adaptation and improvement may be needed. Furthermore, this study aims at examining the Greek Municipalities in order to identify homogeneous and heterogeneous characteristics in the process of planning and developing a smart city. The study identifies the most important impediments towards smart cities actions development and the correlation between the smart cities population and the number of implemented actions. The results highlight the deviation of implemented and planned smart cities actions based on the proposed taxonomy identifying the most important development areas for Greece."
"28","conferencePaper",2014,"Alexopoulos, Charalampos; Zuiderwijk, Anneke; Charalabidis, Yannis; Loukis, Euripides; Janssen, Marijn","Designing a Second Generation of Open Data Platforms: Integrating Open Data and Social Media",NA,"10.1007/978-3-662-44426-9_19","Two important trends in government that are emerging in the recent years have been on one hand the exploitation of the Web 2.0 social media, supporting a more extensive interaction and collaboration with citizens, and on the other hand the opening of government data to the citizens through the Internet, in order to be used for scientific, commercial and political purposes. However, there has been limited attempt of integrating them. Using a design science approach a second generation of open government data (OGD) platforms has been developed, which offer to the users both the ‘classical’ first generation functionalities, and also a comprehensive set of additional novel Web 2.0 features. The latter aim to provide support to the users in order to generate value from ODG. They enable users to become ‘prosumers’, both producing and consuming data. These novel capabilities for performing various types of processing, information and knowledge exchange, and collaboration were found to be useful and valuable by users in a first evaluation."
"29","conferencePaper",2018,"Almeida, Gustavo; Revoredo, Kate; Cappelli, Claudia; Maciel, Cristiano","Improvement of Transparency Through Mining Techniques for Reclassification of Texts: The Case of Brazilian Transparency Portal",NA,"10.1145/3209281.3209332","Several countries passed transparency laws requiring that governments make data about its fiscal and financial expenditures publicly available in Internet portals. Nevertheless, available data is not always synonymous with transparent data. This is the case of the Transparency Portal of Brazilian Federal Government, since key data is presented as unstructured text hindering the control of purchased items. This article describes the application of text mining techniques with the objective of reclassifying descriptive texts of unit of measurement related to the products and services procured by Federal Government in Brazil. The results of the efficacy of this model are presented, including the production of analysis based on the transformed dataset, identifying probable input errors, suspicious companies and purchasers and factors affecting procurement prices as well as presenting suggestions for future research and improvements for the way the data is inputted and made available"
"30","conferencePaper",2016,"Almuftah, Hamad; Weerakkody, Vishanth; Sivarajah, Uthayasankar","Comparing and Contrasting e-Government Maturity Models: A Qualitative-Meta Synthesis",NA,"10.3233/978-1-61499-670-5-69","The e-government maturity model has dissimilar stages that range from basic to advance online interaction competence. E-government's portals use the stages to determine maturity. The aim of this paper is to evaluate e-government maturity models through a comprehensive review of related literature by identifying and mapping cohesions across the models. Apparently, the paper picks seventeen different e-government maturity models and makes contrasts and comparisons using a qualitative meta-synthesis method. Ideally, the paper draws two key results namely presence, communication and integration are main stages involved in all the maturity models and the level of interaction and complexity are found in all modelsThe e-government maturity model has dissimilar stages that range from basic to advance online interaction competence. E-government's portals use the stages to determine maturity. The aim of this paper is to evaluate e-government maturity models through a comprehensive review of related literature by identifying and mapping cohesions across the models. Apparently, the paper picks seventeen different e-government maturity models and makes contrasts and comparisons using a qualitative meta-synthesis method. Ideally, the paper draws two key results namely presence, communication and integration are main stages involved in all the maturity models and the level of interaction and complexity are found in all models."
"31","conferencePaper",2010,"Alqahtani, Abdullah; Lu, Haiyan; Lu, Jie","Towards semantic-aware and ontology-based e-Government service integration - an applicative case study of Saudi Arabia's King Abdullah Scholarship program",NA,"10.1007/978-3-642-14616-9_39","By improving the quality of e-government services by enabling access to services across different government agencies through one portal, services integration plays a key role in e-government development. This paper proposes a conceptual framework of ontology based e-government service integration, using Saudi Arabia's King Abdullah Scholarship Program (SAKASP) as a case study. SAKASP is a multi-domain program in which students must collect information from various Ministries to complete applications and the administering authority must verify the information supplied by the Ministries. The current implementation of SAKASP is clumsy because it is a mixture of online submission and manual collection and verification of information; its time-consuming and tedious procedures are inconvenient for the applicants and inefficient for the administrators. The proposed framework provides an integrated service by employing semantic web service (SWS) and ontology, improving the current implementation of SAKASP by automatically collecting and processing the related information for a given application. The article includes a typical scenario that demonstrates the workflow of the framework. This framework is applicable to other multi-domain e-government services."
"32","conferencePaper",2012,"Alruwaie, Mubarak; El-Haddadeh, Ramzi; Weerakkody, Vishanth","A framework for evaluating citizens' expectations and satisfaction toward continued intention to use e-government services",NA,"10.1007/978-3-642-33489-4_23","This paper examines the role of expectation and satisfaction in influencing citizens’ intention to continue using electronic government services. In order to investigate the key factors that affect an individual’s use of Information and Communication Technology within the context of electronic government, a framework combining Social Cognitive Theory and Expectation-Confirmation Theory is used to investigate satisfaction and continuity of use of e-government services. Further, the study incorporates DeLone and McLean’s IS success model along with the E-S-QUAL model to incorporate technical, organizational and Information Systems quality into this framework. The proposed framework will help in shaping further studies in cognitive, managerial and technical factors related to e-government adoption and use. This study argues that quality and consistency in e-government services affect the expectations and satisfaction of citizens, therefore impacting on its continuity of use."
"33","conferencePaper",2011,"Al-Sobhi, Faris; Weerakkody, Vishanth; El-Haddadeh, Ramzi","The relative importance of intermediaries in eGovernment adoption: A study of Saudi Arabia",NA,"10.1007/978-3-642-22878-0_6","Although Gulf countries have invested large sums of money in implementing e-government services, adoption rates have been low due to various social, political and demographic reasons. This study aims to provide a better understanding to citizens’ adoption of e-government services through conceptualizing the role of intermediary organisations within e-government. In particular, this paper examines the importance of intermediaries in the adoption of e-government from a citizens’ perspective and the potential influence they have on bridging digital divide in societies. Following previous studies on e-government adoption, the study employs the unified theory of acceptance and use of technology (UTAUT) to examine the influence of intermediaries on citizens’ adoption of e-government services in the context of Madinah city in Saudi Arabia. The results in this study indicates that the citizens’ efforts towards using e-government services, their trust of the Internet and their trust of intermediary organisations contribute significantly towards their e-government adoption behaviour. Further, the facilitating conditions the intermediary organisations offer have a significant impact on the usage of e-government services."
"34","conferencePaper",2018,"Ambrosino, Maria Anna; Andriessen, Jerry; Annunziata, Vanja; De Santo, Massimo; Luciano, Carmela; Pardijs, Mirjam; Pirozzi, Donato; Santangelo, Gianluca","Protection and Preservation of Campania Cultural Heritage Engaging Local Communities via the Use of Open Data",NA,"10.1145/3209281.3209347","The paper describes the engaging strategies implemented in the city of Nocera Inferiore, in the Campania Region. The initiatives involved three communities of the local territory: a community of citizens, a community of local associations' members and a community of students. In this study, we take into consideration the engagement of the local citizenship, which has been reached in particular with the Open Data Challenge experience. The citizens contributed to the creation of public value, in collaboration with the local Public Administration, by discussing topics in the context of the local Cultural Heritage. They generated information both from pre-existing and co-created open datasets, using the SPOD platform. These experiences represent a bottom-up approach that directly involves the citizenship in a series of crowdsourcing activities in the field of the Cultural Heritage, collecting data and disseminating the gained knowledge to the whole community."
